,P,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51N,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,52N,53N,54N
P,0,1292,1231,1218,1209,1165,1154,1127,1094,1079,1014,984,955,929,897,876,822,779,765,750,705,687,663,600,588,548,533,495,490,439,402,395,346,180,188,222,267,263,300,389,440,466,495,540,0,693,0,791,0,880,1164,1115,1025,936,816,765,726,678,637,611,621,655,680,706,738,745,582,600,621,682,702,720,782,803,823,889,908,930,988,1008,1026,1086,1107,1129,1189,1208,1230,1073,985,897
01,1292,0,23,51,88,109,136,172,193,220,284,299,326,371,386,414,458,502,530,545,588,615,629,687,704,731,774,788,817,861,875,904,948,1167,1217,1211,1255,1210,1299,1387,1431,1519,1563,1607,0,1739,0,1827,0,1915,1959,2411,2499,2051,1994,2036,2082,1500,1456,1452,1252,1496,1337,1576,1225,1258,1133,1147,1198,1258,804,917,857,803,817,824,791,864,924,964,619,864,480,518,459,380,419,2044,1956,1866
02,1231,23,0,52,89,84,135,170,168,219,240,304,330,276,371,419,463,507,534,549,593,620,634,692,708,736,779,793,821,864,880,909,953,1171,1221,1217,1258,1190,1303,1391,1434,1523,1566,1610,0,1743,0,1830,0,1918,1963,2414,2502,2054,1997,2039,2085,1505,1460,1455,1255,1500,1340,1580,1229,1261,1137,1150,1201,1251,806,920,860,806,820,827,794,866,927,967,622,867,483,523,462,383,422,2029,1941,1851
03,1218,51,52,0,36,77,85,120,161,175,200,260,284,230,325,375,417,461,488,503,547,576,588,646,662,690,733,747,775,818,834,863,907,1125,1174,1171,1212,1180,1257,1345,1388,1477,1520,1565,0,1697,0,1784,0,1872,1917,2368,2456,2008,1951,1993,2039,1459,1414,1409,1209,1446,1294,1534,1183,1215,1091,1104,1155,1205,760,874,814,760,774,781,748,820,881,921,576,821,437,477,416,337,376,2017,1929,1839
04,1209,88,89,36,0,42,48,83,125,132,195,216,240,186,281,331,373,417,444,459,503,532,544,602,618,646,689,703,731,774,790,819,863,1081,1132,1127,1168,1125,1213,1301,1344,1433,1476,1521,0,1653,0,1740,0,1828,1873,2362,2412,1964,2007,1949,1995,1415,1370,1365,1165,1402,1250,1490,1139,1171,1047,1060,1111,1161,716,830,770,716,730,737,704,776,837,877,532,777,393,433,372,293,332,1966,1878,1788
05,1165,109,84,77,42,0,51,85,127,135,199,219,243,189,283,334,376,420,447,462,505,535,547,605,621,649,692,705,734,747,793,822,865,1084,1135,1130,1171,1105,1216,1303,1347,1437,1479,1524,0,1657,0,1743,0,1831,1876,2365,2415,1967,2010,1952,1998,1418,1373,1368,1168,1405,1253,1493,1142,1174,1050,1063,1114,1164,719,833,773,719,733,740,707,779,840,880,835,780,396,436,375,296,225,1944,1856,1766
06,1154,136,135,85,48,51,0,35,77,84,149,173,197,142,237,288,330,374,401,416,459,489,501,559,575,603,646,659,688,701,747,776,819,1038,1089,1084,1125,1095,1170,1257,1301,1391,1433,1478,0,1611,0,1697,0,1785,1830,2319,2369,1921,1966,1908,1954,1374,1329,1324,1124,1361,1209,1449,1098,1130,1006,1019,1070,1120,675,789,729,675,689,696,663,735,796,836,791,736,353,393,331,252,189,1934,1846,1756
07,1127,172,170,120,83,85,35,0,42,49,113,149,157,102,197,248,290,334,361,376,419,449,461,519,535,563,606,619,648,661,707,737,779,998,1049,1044,1085,1040,1130,1217,1261,1351,1393,1438,0,1571,0,1657,0,1745,1790,2279,2329,1881,1926,1868,1914,1344,1289,1284,1084,1321,1169,1409,1058,1090,966,979,1030,1080,635,749,789,635,649,656,623,695,756,796,751,696,313,353,291,212,159,1881,1793,1701
08,1094,193,168,161,125,127,77,42,0,51,115,151,159,104,199,250,292,335,363,379,421,551,463,521,537,565,608,621,650,663,709,739,781,1000,1051,1053,1087,1020,1132,1219,1263,1353,1395,1440,0,1574,0,1669,0,1747,1793,2282,2332,1883,1928,1870,1916,1346,1293,1286,1086,1323,1172,1412,1060,1092,968,982,1032,1082,637,751,791,637,651,658,625,697,758,798,753,698,315,355,293,215,162,1861,1773,1682
09,1079,220,219,175,132,135,84,49,51,0,64,100,105,149,185,192,245,288,316,332,374,504,416,474,485,518,561,574,603,616,662,692,734,953,1004,1006,1040,1010,1085,1172,1216,1306,1348,1393,0,1527,0,1622,0,1700,1746,2235,2285,1836,1881,1823,1869,1299,1246,1239,1039,1276,1125,1365,1013,1045,921,935,985,1035,590,704,744,602,616,623,590,662,698,735,694,643,290,242,150,144,142,1846,1758,1670
10,1014,284,240,200,195,199,149,113,115,64,0,35,42,86,122,129,172,216,260,259,302,351,343,402,441,445,488,525,532,575,611,619,663,886,936,930,974,930,1018,1102,1143,1185,1227,1269,0,1419,0,1500,0,1580,1609,1605,1523,1411,1391,1417,1480,1173,1890,1172,1117,1205,1177,1245,1236,1291,875,857,916,976,958,1017,575,499,536,541,509,581,642,609,683,355,276,314,255,176,214,1768,1680,1592
11,984,299,304,260,216,219,173,149,151,100,35,0,47,92,86,135,179,223,231,267,311,214,315,628,788,671,715,872,759,803,1170,896,890,1055,1231,1097,1092,915,1185,1271,1312,1353,1393,1435,0,1588,0,1669,0,1751,2121,1982,1811,1723,1763,1844,1641,1595,1554,1498,1535,1570,1595,1621,1655,1661,1260,1281,1301,1361,1382,1012,951,929,909,575,535,515,495,475,455,435,415,395,375,355,315,1753,1665,1575
12,955,326,330,284,240,243,197,157,159,105,42,47,0,44,59,87,131,175,203,218,262,287,307,360,375,404,446,461,491,534,549,557,621,787,815,830,872,890,916,1003,1010,1085,1025,1165,0,1319,0,1042,0,1484,-2163,2210,1956,1867,1794,1846,1887,1599,1558,1534,1542,1502,1602,1627,1652,928,908,888,868,848,828,808,788,768,748,728,708,688,668,648,628,608,588,568,548,528,508,1725,1637,1548
13,929,271,276,230,186,189,142,102,104,149,86,92,44,0,15,43,87,131,160,174,218,243,263,316,331,360,402,417,447,491,505,513,577,743,771,786,828,845,872,959,966,1041,981,1121,0,1275,0,998,0,1440,1769,1721,1633,1544,1419,1370,1329,1281,1307,1341,1349,948,968,988,976,956,936,916,896,876,856,836,816,796,776,756,736,716,696,676,656,636,616,596,576,556,536,1681,1593,1506
